date,time,ni_in,fe_in,sio2_in,cao_in,mgo_in,al2o3_in,fe_ni,s_m,bc,loi_in,mc_kilnfeed,fc_coal,gcv_coal,tco,voltage,current,load,rpm,pry_p,sec_p,pry_v,sec_v,total_coal,a_f_ratio,kg_tco,reductor_ratio,reductor_consume,charge_kiln,t_tic162,t_tic163,t_tic166,t_tic172,furnace_temp,ni_met,c_met,si_met,fe_met,s_met,ni_slag,fe_slag,t_kalsin,pic_161,loi_kalsin
44197,0.666666667,2.05,12.77,37.58,0.45,20.3,1.37,6.23,1.86,0.55,11.17,20.43,43.85,6698.12,127.1,758.3,23.3,35.0,0.52,825.8,295.5,112.2,480.2,4500.0,7.898666667,51.65882218,6.16,127.09,2064.34,1200.0,756.0,512.0,262.0,1399.2,20.8,1.294,1.284,74.8144,0.5044,0.07,7.22,627.0,-3.0,0.71
44197,0.708333333,2.0,10.97,36.39,0.36,19.54,1.13,5.5,1.86,0.54,12.98,22.2,45.12,6920.98,129.7,751.7,24.0,35.0,0.52,820.6,286.3,111.8,472.7,4600.0,7.623913043,50.17999345,6.29,127.09,2064.34,1200.0,774.0,550.0,271.0,1399.2,20.8,1.294,1.284,74.8144,0.5044,0.07,7.22,607.0,-2.7,0.71
44197,0.75,2.0,10.97,36.39,0.36,19.54,1.13,5.5,1.86,0.54,12.98,22.2,45.12,6920.98,129.7,751.7,24.0,35.0,0.52,805.0,280.2,111.3,468.3,4600.0,7.56,51.09975561,6.29,127.09,2064.34,849.0,782.0,568.0,277.0,1399.2,20.8,1.294,1.284,74.8144,0.5044,0.07,7.22,614.0,-3.1,0.71
44197,0.791666667,2.0,10.97,36.39,0.36,19.54,1.13,5.5,1.86,0.54,12.98,22.2,45.12,6920.98,129.7,751.7,24.0,35.0,0.52,756.0,269.8,108.0,461.8,4300.0,7.950697674,49.71098266,6.29,127.09,2064.34,1201.0,770.0,557.0,276.0,1399.2,20.8,1.294,1.284,74.8144,0.5044,0.07,7.22,620.0,-0.9,0.9
44197,0.833333333,2.0,10.97,36.39,0.36,19.54,1.13,5.5,1.86,0.54,12.98,22.2,45.12,6920.98,129.7,751.7,24.0,35.0,0.52,757.1,271.2,107.8,462.0,4300.0,7.950697674,49.49925176,6.29,127.09,2064.34,1200.0,749.0,555.0,269.0,1399.2,20.8,1.294,1.284,74.8144,0.5044,0.07,7.22,610.0,-3.0,0.9
44197,0.875,2.0,10.97,36.39,0.36,19.54,1.13,5.5,1.86,0.54,12.98,22.2,45.12,6920.98,129.7,751.7,24.0,35.0,0.52,758.9,270.0,108.0,462.9,4300.0,7.966046512,49.71098266,6.29,127.09,2064.34,1201.0,757.0,543.0,276.0,1399.2,20.8,1.294,1.284,74.8144,0.5044,0.07,7.22,621.0,-2.1,0.75
44197,0.916666667,2.0,10.97,36.39,0.36,19.54,1.13,5.5,1.86,0.54,12.98,22.2,45.12,6920.98,129.7,751.7,24.0,35.0,0.52,760.6,265.0,108.4,456.8,4300.0,7.886511628,49.18782887,6.29,127.09,2064.34,1200.0,729.0,526.0,270.0,1399.2,20.8,1.294,1.284,74.8144,0.5044,0.07,7.22,615.0,-3.2,0.75
44197,0.958333333,2.0,10.97,36.39,0.36,19.54,1.13,5.5,1.86,0.54,12.98,22.2,45.12,6920.98,129.7,751.7,24.0,35.0,0.52,760.6,262.7,108.4,456.0,4400.0,7.696363636,49.200492,6.29,127.09,2064.34,1198.0,742.0,538.0,271.0,1399.2,20.8,1.294,1.284,74.8144,0.5044,0.07,7.22,619.0,-3.4,0.81
44198,0.0,2.0,10.97,36.39,0.36,19.54,1.13,5.5,1.86,0.54,12.98,22.2,45.12,6920.98,129.7,751.7,24.0,35.0,0.5,799.6,282.1,110.7,470.8,4300.0,8.113953488,47.42472703,6.29,129.75,2064.34,1201.0,727.0,518.0,273.0,1399.2,20.8,1.294,1.284,74.8144,0.5044,0.07,7.22,622.0,-2.9,0.81
44198,0.041666667,2.08,12.36,36.33,0.31,21.3,1.11,5.94,1.71,0.59,,18.735,37.79,5672.22,129.7,751.7,24.0,35.0,0.5,836.9,289.2,113.3,476.0,4500.0,7.857333333,49.79528605,6.29,129.75,2064.34,1201.0,750.0,539.0,280.0,1399.2,20.8,1.294,1.284,74.8144,0.5044,0.07,7.22,604.0,-3.0,0.62
44198,0.083333333,2.08,12.36,36.33,0.31,21.3,1.11,5.94,1.71,0.59,,18.735,37.79,5672.22,129.7,751.7,24.0,35.0,0.5,834.2,287.4,113.4,476.2,4700.0,7.526808511,54.04783809,6.29,129.75,2064.34,1201.0,763.0,538.0,286.0,1399.2,20.8,1.294,1.284,74.8144,0.5044,0.07,7.22,641.0,-2.5,0.62
44198,0.125,2.08,12.36,36.33,0.31,21.3,1.11,5.94,1.71,0.59,,18.735,37.79,5672.22,129.7,751.7,24.0,35.0,0.5,836.8,288.5,113.5,475.6,4700.0,7.520425532,54.15994469,6.29,129.75,2064.34,1201.0,760.0,534.0,286.0,1399.2,20.8,1.294,1.284,74.8144,0.5044,0.07,7.22,639.0,-3.7,0.64
44198,0.166666667,2.08,12.36,36.33,0.31,21.3,1.11,5.94,1.71,0.59,,18.735,37.79,5672.22,129.7,751.7,24.0,35.0,0.5,833.0,289.0,113.0,476.0,4700.0,7.519148936,53.15539471,6.29,129.75,2064.34,1200.0,761.0,559.0,288.0,1399.2,20.8,1.294,1.284,74.8144,0.5044,0.07,7.22,623.0,-3.5,0.64
44198,0.208333333,2.08,12.36,36.33,0.31,21.3,1.11,5.94,1.71,0.59,,18.735,37.79,5672.22,129.7,751.7,24.0,35.0,0.5,834.0,289.0,113.0,476.0,4800.0,7.3625,52.98013245,6.29,129.75,2064.34,1200.0,768.0,561.0,289.0,1399.2,20.8,1.294,1.284,74.8144,0.5044,0.07,7.22,598.0,-2.7,0.63
44198,0.25,2.08,12.36,36.33,0.31,21.3,1.11,5.94,1.71,0.59,,18.735,37.79,5672.22,129.7,751.7,24.0,35.0,0.5,830.0,288.0,113.0,475.0,4700.0,7.506382979,51.87637969,6.29,129.75,2064.34,1200.0,764.0,551.0,290.0,1399.2,20.8,1.294,1.284,74.8144,0.5044,0.07,7.22,573.0,-2.0,0.63
44198,0.291666667,2.08,12.36,36.33,0.31,21.3,1.11,5.94,1.71,0.59,,18.735,37.79,5672.22,129.7,751.7,24.0,35.0,0.5,834.0,288.0,113.0,475.0,4700.0,7.506382979,52.92792793,6.29,129.75,2064.34,1200.0,766.0,552.0,291.0,1399.2,20.8,1.294,1.284,74.8144,0.5044,0.07,7.22,615.0,-3.0,0.61
44198,0.333333333,2.08,12.36,36.33,0.31,21.3,1.11,5.94,1.71,0.59,,18.735,44.95,5672.22,129.7,751.7,24.0,35.0,0.5,837.2,287.5,113.3,475.3,4700.0,7.514042553,51.68242797,6.29,129.75,2064.34,1200.0,761.0,563.0,286.0,1399.2,20.8,1.294,1.284,74.8144,0.5044,0.07,7.22,593.0,-3.1,0.61
44198,0.375,2.03,13.12,40.75,0.65,23.61,2.04,6.48,1.73,0.59,,17.71,44.95,6629.3,129.7,751.7,24.0,35.0,0.5,835.0,286.2,113.1,475.9,4600.0,7.682608696,50.09801786,6.29,129.75,2064.34,878.0,778.0,548.0,287.0,1399.2,20.8,1.294,1.284,74.8144,0.5044,0.07,7.22,624.0,-3.5,0.0
44198,0.416666667,2.03,13.12,40.75,0.65,23.61,2.04,6.48,1.73,0.59,,17.71,44.95,6629.3,129.7,751.7,24.0,35.0,0.5,878.3,299.2,115.4,485.7,4800.0,7.51375,52.95675199,6.29,129.75,2064.34,954.0,783.0,569.0,299.0,1399.2,20.8,1.294,1.284,74.8144,0.5044,0.07,7.22,666.0,-2.6,0.0
44198,0.458333333,2.03,13.12,40.75,0.65,23.61,2.04,6.48,1.73,0.59,,17.71,44.95,6629.3,129.7,751.7,24.0,35.0,0.54,874.4,299.7,115.5,486.2,4800.0,7.52125,51.8134715,6.29,129.75,2064.34,1149.0,782.0,586.0,301.0,1399.2,20.8,1.294,1.284,74.8144,0.5044,0.07,7.22,642.0,-2.3,0.0
44198,0.5,2.03,13.12,40.75,0.65,23.61,2.04,6.48,1.73,0.59,,17.71,44.95,6629.3,129.7,751.7,24.0,35.0,0.54,869.1,297.2,115.6,485.4,4800.0,7.5125,51.15634658,6.29,129.75,2064.34,776.0,780.0,588.0,298.0,1399.2,20.8,1.294,1.284,74.8144,0.5044,0.07,7.22,632.0,-2.4,0.0
44198,0.541666667,2.03,13.12,40.75,0.65,23.61,2.04,6.48,1.73,0.59,,17.71,44.95,6629.3,129.7,751.7,24.0,35.0,0.54,876.3,298.3,115.7,487.0,4900.0,7.38,52.37840727,6.29,129.75,2064.34,1200.0,780.0,570.0,290.0,1399.2,20.8,1.294,1.284,74.8144,0.5044,0.07,7.22,612.0,-2.5,0.0
44198,0.583333333,2.03,13.12,40.75,0.65,23.61,2.04,6.48,1.73,0.59,,17.71,44.95,6629.3,129.7,751.7,24.0,35.0,,,,,,,,,6.29,129.75,2064.34,,,,,1399.2,20.8,1.294,1.284,74.8144,0.5044,0.07,7.22,619.0,-2.8,0.0
44198,0.625,2.03,13.12,40.75,0.65,23.61,2.04,6.48,1.73,0.59,,17.71,44.95,6629.3,129.7,751.7,24.0,35.0,0.54,873.5,309.6,115.5,494.1,5000.0,7.3152,52.65374895,6.29,129.75,2064.34,973.0,746.0,549.0,294.0,1399.2,20.8,1.294,1.284,74.8144,0.5044,0.07,7.22,605.0,-1.9,0.0
44198,0.666666667,2.03,13.12,40.75,0.65,23.61,2.04,6.48,1.73,0.59,,17.71,46.21,6629.3,129.7,751.7,24.0,35.0,0.4,298.9,127.6,68.2,331.1,3600.0,6.655,68.61063465,6.29,129.75,2064.34,1200.0,728.0,566.0,272.0,1400.666667,20.835,1.306666667,1.291666667,74.80116667,0.465666667,0.06,7.4,599.0,-3.1,0.0
44198,0.708333333,2.03,13.12,40.75,0.65,23.61,2.04,6.48,1.73,0.59,,21.435,46.21,7291.91,0.0,794.3,23.7,35.0,0.48,504.4,179.6,88.5,385.3,3800.0,7.481052632,57.23753577,6.02,129.75,2114.3,1200.0,749.0,517.0,261.0,1400.666667,20.835,1.306666667,1.291666667,74.80116667,0.465666667,0.06,7.4,587.0,-2.8,0.0
44198,0.75,1.98,12.02,35.51,0.41,19.45,1.37,6.07,1.83,0.56,,21.435,46.21,7291.91,0.0,794.3,23.7,35.0,0.5,554.1,195.7,92.6,401.7,4000.0,7.4145,48.43201356,6.02,129.75,2114.3,1200.0,766.0,588.0,274.0,1400.666667,20.835,1.306666667,1.291666667,74.80116667,0.465666667,0.06,7.4,604.0,-3.2,0.0
44198,0.791666667,1.98,12.02,35.51,0.41,19.45,1.37,6.07,1.83,0.56,,21.435,46.21,7291.91,0.0,794.3,23.7,35.0,0.5,552.6,194.3,92.9,402.2,4200.0,7.072857143,47.75983625,6.02,129.75,2114.3,1200.0,773.0,580.0,273.0,1400.666667,20.835,1.306666667,1.291666667,74.80116667,0.465666667,0.06,7.4,603.0,-2.9,0.0
44198,0.833333333,1.98,12.02,35.51,0.41,19.45,1.37,6.07,1.83,0.56,,21.435,46.21,7291.91,0.0,794.3,23.7,35.0,0.5,563.2,203.6,93.5,406.5,4200.0,7.142857143,47.50056548,6.02,129.75,2114.3,1200.0,751.0,550.0,269.0,1400.666667,20.835,1.306666667,1.291666667,74.80116667,0.465666667,0.06,7.4,615.0,-2.6,0.0
44198,0.875,1.98,12.02,35.51,0.41,19.45,1.37,6.07,1.83,0.56,,21.435,46.21,7291.91,0.0,794.3,23.7,35.0,0.5,579.5,202.6,94.6,409.8,4400.0,6.878181818,49.85835694,6.02,129.75,2114.3,1200.0,727.0,535.0,272.0,1400.666667,20.835,1.306666667,1.291666667,74.80116667,0.465666667,0.06,7.4,626.0,-2.9,0.0
44198,0.916666667,1.98,12.02,35.51,0.41,19.45,1.37,6.07,1.83,0.56,,21.435,46.21,7291.91,0.0,794.3,23.7,35.0,0.5,674.2,243.2,102.4,441.6,4400.0,7.418181818,50.23404498,6.02,129.75,2114.3,1200.0,732.0,526.0,264.0,1400.666667,20.835,1.306666667,1.291666667,74.80116667,0.465666667,0.06,7.4,631.0,-2.8,0.0
44198,0.958333333,1.98,12.02,35.51,0.41,19.45,1.37,6.07,1.83,0.56,,21.435,46.21,7291.91,0.0,794.3,23.7,35.0,0.5,703.2,251.8,104.5,449.6,4600.0,7.227391304,50.37231713,6.02,129.75,2114.3,1189.0,755.0,562.0,275.0,1400.666667,20.835,1.306666667,1.291666667,74.80116667,0.465666667,0.06,7.4,618.0,-3.5,0.0
44199,0.0,1.98,12.02,35.51,0.41,19.45,1.37,6.07,1.83,0.56,,21.435,46.21,7291.91,0.0,794.3,23.7,35.0,0.51,705.4,252.2,104.6,449.6,4700.0,7.074893617,51.33245959,6.02,127.35,2114.3,1017.0,754.0,529.0,276.0,1400.666667,20.835,1.306666667,1.291666667,74.80116667,0.465666667,0.06,7.4,627.0,-2.5,0.0
44199,0.041666667,1.98,12.02,35.51,0.41,19.45,1.37,6.07,1.83,0.56,10.76,21.265,45.28,6576.24,0.0,794.3,23.7,35.0,0.51,880.2,314.0,116.6,497.3,4600.0,8.007391304,52.03031331,6.02,127.35,2114.3,1200.0,758.0,540.0,286.0,1400.666667,20.835,1.306666667,1.291666667,74.80116667,0.465666667,0.06,7.4,622.0,-3.5,0.25
44199,0.083333333,2.1,13.6,39.3,0.42,20.34,1.29,6.48,1.93,0.53,10.76,21.265,45.28,6576.24,0.0,794.3,23.7,35.0,0.51,888.4,315.3,116.6,498.0,4700.0,7.845957447,51.31564581,6.02,127.35,2114.3,1200.0,767.0,565.0,292.0,1400.666667,20.835,1.306666667,1.291666667,74.80116667,0.465666667,0.06,7.4,614.0,-4.9,0.25
44199,0.125,2.1,13.6,39.3,0.42,20.34,1.29,6.48,1.93,0.53,10.76,21.265,45.28,6576.24,0.0,794.3,23.7,35.0,0.51,920.0,326.6,118.7,506.3,4600.0,8.152173913,49.72435412,6.02,127.35,2114.3,1200.0,771.0,563.0,289.0,1400.666667,20.835,1.306666667,1.291666667,74.80116667,0.465666667,0.06,7.4,617.0,-2.9,0.28
44199,0.166666667,2.1,13.6,39.3,0.42,20.34,1.29,6.48,1.93,0.53,10.76,21.265,45.28,6576.24,0.0,794.3,23.7,35.0,0.51,946.9,337.0,120.2,514.7,4700.0,8.105106383,50.10126852,6.02,127.35,2114.3,1200.0,768.0,568.0,282.0,1400.666667,20.835,1.306666667,1.291666667,74.80116667,0.465666667,0.06,7.4,621.0,-2.7,0.28
44199,0.208333333,2.1,13.6,39.3,0.42,20.34,1.29,6.48,1.93,0.53,10.76,21.265,45.28,6576.24,0.0,794.3,23.7,35.0,0.51,954.2,339.9,120.6,514.6,4700.0,8.10893617,52.23963543,6.02,127.35,2114.3,1200.0,772.0,558.0,278.0,1400.666667,20.835,1.306666667,1.291666667,74.80116667,0.465666667,0.06,7.4,634.0,-3.3,0.26
44199,0.25,2.1,13.6,39.3,0.42,20.34,1.29,6.48,1.93,0.53,10.76,21.265,45.28,6576.24,0.0,794.3,23.7,35.0,0.51,949.5,340.4,120.6,514.2,4800.0,7.935,52.95091009,6.02,127.35,2114.3,1200.0,734.0,524.0,275.0,1400.666667,20.835,1.306666667,1.291666667,74.80116667,0.465666667,0.06,7.4,,,0.29
44199,0.291666667,2.1,13.6,39.3,0.42,20.34,1.29,6.48,1.93,0.53,10.76,21.265,45.28,6576.24,0.0,794.3,23.7,35.0,0.51,948.9,340.1,120.6,514.0,4700.0,8.101276596,51.94518126,6.02,127.35,2114.3,1200.0,742.0,512.0,289.0,1400.666667,20.835,1.306666667,1.291666667,74.80116667,0.465666667,0.06,7.4,620.0,-3.0,0.29
44199,0.333333333,2.1,13.6,39.3,0.42,20.34,1.29,6.48,1.93,0.53,10.76,21.265,45.28,6576.24,0.0,794.3,23.7,35.0,0.51,763.2,277.0,108.1,465.8,4600.0,7.485652174,50.78944463,6.02,127.35,2114.3,1200.0,767.0,572.0,289.0,1400.666667,20.835,1.306666667,1.291666667,74.80116667,0.465666667,0.06,7.4,586.0,-1.0,0.29
44199,0.375,2.1,13.6,39.3,0.42,20.34,1.29,6.48,1.93,0.53,10.76,19.875,43.61,6587.01,0.0,794.3,23.7,35.0,0.51,820.6,296.3,112.1,482.0,4500.0,7.921333333,48.37149307,6.02,127.35,2114.3,1200.0,757.0,571.0,287.0,1400.666667,20.835,1.306666667,1.291666667,74.80116667,0.465666667,0.06,7.4,600.0,-2.7,0.0
44199,0.416666667,2.135,13.19,36.71,0.41,19.975,1.36,6.17867,1.83989,0.55281,11.28,19.875,43.61,6587.01,0.0,794.3,23.7,35.0,0.56,922.5,331.8,118.6,505.2,5000.0,7.4856,49.77600796,6.02,127.35,2114.3,1200.0,773.0,578.0,297.0,1400.666667,20.835,1.306666667,1.291666667,74.80116667,0.465666667,0.06,7.4,616.0,-3.1,0.0
44199,0.458333333,2.135,13.19,36.71,0.41,19.975,1.36,6.17867,1.83989,0.55281,11.28,19.875,43.61,6587.01,0.0,794.3,23.7,35.0,0.56,927.9,333.1,119.0,507.8,5300.0,7.095849057,52.74681529,6.02,127.35,2114.3,1200.0,749.0,553.0,297.0,1400.666667,20.835,1.306666667,1.291666667,74.80116667,0.465666667,0.06,7.4,620.0,-3.9,0.0
44199,0.5,2.135,13.19,36.71,0.41,19.975,1.36,6.17867,1.83989,0.55281,11.28,19.875,43.61,6587.01,0.0,794.3,23.7,35.0,0.56,958.9,334.0,121.1,514.6,5300.0,7.196603774,53.15947844,6.02,127.35,2114.3,1200.0,726.0,549.0,302.0,1400.666667,20.835,1.306666667,1.291666667,74.80116667,0.465666667,0.06,7.4,612.0,-3.3,0.0
44199,0.541666667,2.135,13.19,36.71,0.41,19.975,1.36,6.17867,1.83989,0.55281,11.28,19.875,43.61,6587.01,0.0,794.3,23.7,35.0,0.56,958.4,333.8,120.6,511.8,5500.0,6.898909091,55.04403523,6.02,127.35,2114.3,1200.0,715.0,558.0,299.0,1400.666667,20.835,1.306666667,1.291666667,74.80116667,0.465666667,0.06,7.4,620.0,-2.8,0.0
44199,0.583333333,2.135,13.19,36.71,0.41,19.975,1.36,6.17867,1.83989,0.55281,11.28,19.875,43.61,6587.01,0.0,794.3,23.7,35.0,0.56,962.5,333.8,120.8,513.1,5600.0,6.791785714,55.59968229,6.02,127.35,2114.3,1200.0,722.0,547.0,298.0,1400.666667,20.835,1.306666667,1.291666667,74.80116667,0.465666667,0.06,7.4,611.0,-3.1,0.0
44199,0.625,2.135,13.19,36.71,0.41,19.975,1.36,6.17867,1.83989,0.55281,11.28,19.875,43.61,6587.01,0.0,794.3,23.7,35.0,0.56,997.8,333.3,123.0,512.8,5600.0,6.812142857,57.24800654,6.02,127.35,2114.3,1200.0,725.0,533.0,303.0,1400.666667,20.835,1.306666667,1.291666667,74.80116667,0.465666667,0.06,7.4,608.0,-3.2,0.0
44199,0.666666667,2.135,13.19,36.71,0.41,19.975,1.36,6.17867,1.83989,0.55281,11.28,19.875,43.61,6587.01,0.0,794.3,23.7,35.0,0.56,995.3,332.2,122.9,508.6,5500.0,6.889090909,53.90571401,6.02,127.35,2114.3,1200.0,735.0,577.0,309.0,1405.5,21.00333333,1.316666667,1.265,74.6815,0.4455,0.06,7.68,634.0,-3.7,0.0
44199,0.708333333,2.135,13.19,36.71,0.41,19.975,1.36,6.17867,1.83989,0.55281,11.28,21.65,41.85,6204.13,38.40000153,813.8,23.7,15.0,0.56,997.2,332.8,123.0,507.6,5300.0,7.138867925,53.42741935,6.17,127.35,2099.3,1200.0,775.0,589.0,305.0,1405.5,21.00333333,1.316666667,1.265,74.6815,0.4455,0.06,7.68,593.0,-3.7,0.38
44199,0.75,2.11,13.35,36.43,0.35,19.83,1.52,6.35,1.84,0.55,11.57,21.65,41.85,6204.13,129.6,813.8,23.7,15.0,0.56,996.3,332.8,122.8,507.4,5300.0,7.134339623,54.25325008,6.17,127.35,2099.3,1200.0,772.0,572.0,309.0,1405.5,21.00333333,1.316666667,1.265,74.6815,0.4455,0.06,7.68,611.0,-3.9,0.38
44199,0.791666667,2.11,13.35,36.43,0.35,19.83,1.52,6.35,1.84,0.55,11.57,21.65,41.85,6204.13,129.6,813.8,23.7,15.0,0.56,995.2,334.1,123.0,507.3,5200.0,7.272692308,53.28960853,6.17,127.35,2099.3,1200.0,770.0,586.0,301.0,1405.5,21.00333333,1.316666667,1.265,74.6815,0.4455,0.06,7.68,606.0,-3.4,0.37
44199,0.833333333,2.11,13.35,36.43,0.35,19.83,1.52,6.35,1.84,0.55,11.57,21.65,41.85,6204.13,129.6,813.8,23.7,15.0,0.56,994.0,334.1,123.1,507.4,5200.0,7.275,53.15342942,6.17,127.35,2099.3,1200.0,758.0,544.0,303.0,1405.5,21.00333333,1.316666667,1.265,74.6815,0.4455,0.06,7.68,612.0,-3.0,0.37
44199,0.875,2.11,13.35,36.43,0.35,19.83,1.52,6.35,1.84,0.55,11.57,21.65,41.85,6204.13,129.6,813.8,23.7,15.0,0.56,993.9,333.6,122.7,507.4,5200.0,7.270384615,53.38260959,6.17,127.35,2099.3,1200.0,777.0,592.0,299.0,1405.5,21.00333333,1.316666667,1.265,74.6815,0.4455,0.06,7.68,627.0,-3.2,0.4
44199,0.916666667,2.11,13.35,36.43,0.35,19.83,1.52,6.350671369,1.83859844,0.55184878,11.57,21.65,41.85,6204.13,129.6,813.8,23.7,15.0,,,,,,,,,6.17,127.35,2099.3,,,,,1405.5,21.00333333,1.316666667,1.265,74.6815,0.4455,0.06,7.68,628.0,-2.5,0.4
44199,0.958333333,2.11,13.35,36.43,0.35,19.83,1.52,6.350671369,1.83859844,0.55184878,11.57,21.65,41.85,6204.13,129.6,813.8,23.7,15.0,,,,,,,,,6.17,127.35,2099.3,,,,,1405.5,21.00333333,1.316666667,1.265,74.6815,0.4455,0.06,7.68,612.0,-3.3,0.42
44203,0.0,1.985,13.055,37.485,0.365,21.665,1.53,6.575,1.73,0.585,11.66,23.325,41.89,6390.64,129.6,813.8,23.7,15.0,0.61,1097.1,339.0,128.6,517.1,5500.0,7.044,51.45476658,6.17,129.55,2099.3,1017.0,704.0,527.0,282.0,1405.5,21.00333333,1.316666667,1.265,74.6815,0.4455,0.06,7.68,635.0,-1.9,0.42
44203,0.041666667,2.03,13.39,36.18,0.34,20.5,1.27,6.61,1.77,0.57,16.41,21.885,39.8,6183.73,129.6,813.8,23.7,15.0,0.61,1113.8,337.6,129.9,516.3,5500.0,7.049454545,53.67948468,6.17,129.55,2099.3,1010.0,737.0,552.0,288.0,1405.5,21.00333333,1.316666667,1.265,74.6815,0.4455,0.06,7.68,626.0,-2.9,0.0
44203,0.083333333,2.03,13.39,36.18,0.34,20.5,1.27,6.61,1.77,0.57,16.41,21.885,39.8,6183.73,129.6,813.8,23.7,15.0,0.61,1118.7,339.2,130.0,516.5,5600.0,6.926785714,55.79912316,6.17,129.55,2099.3,1015.0,709.0,528.0,291.0,1405.5,21.00333333,1.316666667,1.265,74.6815,0.4455,0.06,7.68,616.0,-2.8,0.0
44203,0.125,2.03,13.39,36.18,0.34,20.5,1.27,6.61,1.77,0.57,16.41,21.885,39.8,6183.73,129.6,813.8,23.7,15.0,0.61,1114.0,338.0,129.9,516.2,5600.0,6.9225,55.89380178,6.17,129.55,2099.3,1019.0,739.0,568.0,285.0,1405.5,21.00333333,1.316666667,1.265,74.6815,0.4455,0.06,7.68,620.0,-2.9,0.0
44203,0.166666667,2.03,13.39,36.18,0.34,20.5,1.27,6.61,1.77,0.57,16.41,21.885,39.8,6183.73,129.6,813.8,23.7,15.0,0.55,942.0,338.0,120.2,514.0,5500.0,6.918545455,57.31554815,6.17,129.55,2099.3,1020.0,742.0,481.0,273.0,1405.5,21.00333333,1.316666667,1.265,74.6815,0.4455,0.06,7.68,613.0,-4.1,0.0
44203,0.208333333,2.03,13.39,36.18,0.34,20.5,1.27,6.61,1.77,0.57,16.41,21.885,39.8,6183.73,129.6,813.8,23.7,15.0,0.4,815.2,294.9,112.3,480.0,5000.0,7.1076,63.39546089,6.17,129.55,2099.3,999.0,803.0,508.0,270.0,1405.5,21.00333333,1.316666667,1.265,74.6815,0.4455,0.06,7.68,611.0,-2.2,0.0
44203,0.25,2.03,13.39,36.18,0.34,20.5,1.27,6.61,1.77,0.57,16.41,21.885,39.8,6183.73,129.6,813.8,23.7,15.0,0.4,816.1,295.8,112.0,480.5,4000.0,8.8875,61.06870229,6.17,129.55,2099.3,967.0,822.0,559.0,274.0,1405.5,21.00333333,1.316666667,1.265,74.6815,0.4455,0.06,7.68,610.0,-4.2,0.0
44203,0.291666667,2.03,13.39,36.18,0.34,20.5,1.27,6.61,1.77,0.57,16.41,21.885,39.8,6183.73,129.6,813.8,23.7,15.0,0.4,817.6,295.6,112.0,480.1,3900.0,9.109230769,59.66039468,6.17,129.55,2099.3,973.0,816.0,578.0,279.0,1405.5,21.00333333,1.316666667,1.265,74.6815,0.4455,0.06,7.68,627.0,-4.4,0.0
44203,0.333333333,2.03,13.39,36.18,0.34,20.5,1.27,6.61,1.77,0.57,16.41,21.885,39.8,6183.73,129.6,813.8,23.7,15.0,0.46,819.8,298.6,112.0,480.1,3700.0,9.601621622,51.5176831,6.17,129.55,2099.3,929.0,805.0,601.0,266.0,1405.5,21.00333333,1.316666667,1.265,74.6815,0.4455,0.06,7.68,629.0,-3.8,0.0
44203,0.375,2.065,11.985,40.785,0.405,25.465,1.405,5.79399,1.60582,0.63196,12.185,20.81,42.36,6646.06,129.6,813.8,23.7,15.0,0.46,759.6,285.5,107.9,471.7,3600.0,9.66,49.60044089,6.17,129.55,2099.3,889.0,762.0,530.0,246.0,1405.5,21.00333333,1.316666667,1.265,74.6815,0.4455,0.06,7.68,622.0,-2.1,0.98
44203,0.416666667,2.065,11.985,40.785,0.405,25.465,1.405,5.79399,1.60582,0.63196,12.185,20.81,42.36,6646.06,129.6,813.8,23.7,15.0,0.46,847.3,304.8,113.7,488.5,3900.0,9.264615385,53.80794702,6.17,129.55,2099.3,875.0,752.0,493.0,250.0,1405.5,21.00333333,1.316666667,1.265,74.6815,0.4455,0.06,7.68,622.0,-3.3,0.98
44203,0.458333333,2.065,11.985,40.785,0.405,25.465,1.405,5.79399,1.60582,0.63196,12.185,20.81,42.36,6646.06,129.6,813.8,23.7,15.0,0.46,717.1,268.1,105.0,459.7,4100.0,8.263902439,58.06542983,6.17,129.55,2099.3,914.0,792.0,486.0,256.0,1405.5,21.00333333,1.316666667,1.265,74.6815,0.4455,0.06,7.68,624.0,-3.5,0.96
44203,0.5,2.065,11.985,40.785,0.405,25.465,1.405,5.79399,1.60582,0.63196,12.185,20.81,42.36,6646.06,129.6,813.8,23.7,15.0,0.46,830.3,308.8,112.7,492.3,4100.0,8.853658537,52.80103026,6.17,129.55,2099.3,899.0,792.0,539.0,257.0,1405.5,21.00333333,1.316666667,1.265,74.6815,0.4455,0.06,7.68,618.0,-3.6,0.96
44203,0.541666667,2.065,11.985,40.785,0.405,25.465,1.405,5.79399,1.60582,0.63196,12.185,20.81,42.36,6646.06,129.6,813.8,23.7,15.0,0.46,833.6,307.7,113.1,491.6,4100.0,8.849268293,49.1547776,6.17,129.55,2099.3,915.0,798.0,538.0,257.0,1405.5,21.00333333,1.316666667,1.265,74.6815,0.4455,0.06,7.68,623.0,-3.2,0.99
44203,0.583333333,2.065,11.985,40.785,0.405,25.465,1.405,5.79399,1.60582,0.63196,12.185,20.81,42.36,6646.06,129.6,813.8,23.7,15.0,0.46,868.4,320.0,115.2,500.0,4200.0,8.788571429,50.48683736,6.17,129.55,2099.3,915.0,792.0,481.0,260.0,1405.5,21.00333333,1.316666667,1.265,74.6815,0.4455,0.06,7.68,,,0.99
